antecedents,consequents,support,confidence,lift,leverage
spectral_rolloff_Low,spectral_centroid_Low,0.3085,0.9348484848484848,2.8328741965105597,0.1996
spectral_centroid_Low,spectral_rolloff_Low,0.3085,0.9348484848484848,2.8328741965105597,0.1996
spectral_centroid_High,spectral_rolloff_High,0.304,0.8941176470588235,2.6297577854671275,0.18839999999999996
spectral_rolloff_High,spectral_centroid_High,0.304,0.8941176470588235,2.6297577854671275,0.18839999999999996
spectral_centroid_High,zero_crossing_rate_High,0.2975,0.8749999999999999,2.573529411764705,0.18189999999999995
zero_crossing_rate_High,spectral_centroid_High,0.2975,0.8749999999999999,2.573529411764705,0.18189999999999995
spectral_bandwidth_High,spectral_rolloff_High,0.2895,0.851470588235294,2.5043252595155705,0.17389999999999994
spectral_rolloff_High,spectral_bandwidth_High,0.2895,0.851470588235294,2.5043252595155705,0.17389999999999994
spectral_bandwidth_Low,spectral_rolloff_Low,0.284,0.8606060606060605,2.6078971533516984,0.17509999999999998
spectral_rolloff_Low,spectral_bandwidth_Low,0.284,0.8606060606060605,2.6078971533516984,0.17509999999999998
zero_crossing_rate_Low,spectral_centroid_Low,0.2755,0.8348484848484848,2.529843893480257,0.16660000000000003
spectral_centroid_Low,zero_crossing_rate_Low,0.2755,0.8348484848484848,2.529843893480257,0.16660000000000003
spectral_centroid_Low,spectral_bandwidth_Low,0.2735,0.8287878787878789,2.51147842056933,0.16460000000000002
spectral_bandwidth_Low,spectral_centroid_Low,0.2735,0.8287878787878789,2.51147842056933,0.16460000000000002
spectral_rolloff_Medium,spectral_centroid_Medium,0.2725,0.8257575757575758,2.502295684113866,0.16360000000000002
